match_dir,M,p,lam,seed,seat,agent,kind,mean_coop,mean_reward,total_reward,switch_rate,gtft_match_rate,final_action,final_coop
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.60__s101,3,0.1,0.6,101,2,graded_tft,deterministic,0.52,0.5001969194002284,25.00984597001142,0.02,1.0,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.60__s101,3,0.1,0.6,101,3,gpt4o_mini,llm,0.54,0.46744592381246863,23.37229619062343,0.02,0.96,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.60__s101,3,0.1,0.6,101,4,grok_41_fast,llm,0.41,0.6651969194002284,33.25984597001142,0.16,0.78,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.00__s101,3,0.2,0.0,101,0,always_cooperate,deterministic,1.0,-0.325,-16.25,0.0,0.04,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.00__s101,3,0.2,0.0,101,1,always_defect,deterministic,0.0,1.175,58.75,0.0,0.04,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.00__s101,3,0.2,0.0,101,2,graded_tft,deterministic,0.5,0.425,21.25,0.1,1.0,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.00__s101,3,0.2,0.0,101,3,gpt4o_mini,llm,0.5,0.425,21.25,0.1,0.96,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.00__s101,3,0.2,0.0,101,4,grok_41_fast,llm,0.35,0.65,32.5,0.1,0.7,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.30__s101,3,0.2,0.3,101,0,always_cooperate,deterministic,1.0,-0.3209774652305851,-16.048873261529256,0.0,0.04,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.30__s101,3,0.2,0.3,101,1,always_defect,deterministic,0.0,1.1842628583463197,59.21314291731599,0.0,0.04,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.30__s101,3,0.2,0.3,101,2,graded_tft,deterministic,0.5,0.43134663357753,21.5673316788765,0.1,1.0,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.30__s101,3,0.2,0.3,101,3,gpt4o_mini,llm,0.49,0.44577671013414716,22.288835506707358,0.14,0.94,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.30__s101,3,0.2,0.3,101,4,grok_41_fast,llm,0.35,0.6566426965578674,32.83213482789337,0.1,0.7,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.60__s101,3,0.2,0.6,101,0,always_cooperate,deterministic,1.0,-0.33577067853982073,-16.788533926991036,0.0,0.04,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.60__s101,3,0.2,0.6,101,1,always_defect,deterministic,0.0,1.1758942205353384,58.794711026766926,0.0,0.04,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.60__s101,3,0.2,0.6,101,2,graded_tft,deterministic,0.5,0.41946964503708417,20.973482251854207,0.1,1.0,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.60__s101,3,0.2,0.6,101,3,gpt4o_mini,llm,0.46,0.4783297981503185,23.916489907515924,0.14,0.88,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.20__l0.60__s101,3,0.2,0.6,101,4,grok_41_fast,llm,0.33,0.6756538969584337,33.78269484792168,0.1,0.66,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.00__s101,5,0.0,0.0,101,0,always_cooperate,deterministic,1.0,0.1325,6.625,0.0,0.02,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.00__s101,5,0.0,0.0,101,1,always_defect,deterministic,0.0,1.6325,81.625,0.0,0.0,4,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.00__s101,5,0.0,0.0,101,2,graded_tft,deterministic,0.755,0.5,25.0,0.02,1.0,1,0.75
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.00__s101,5,0.0,0.0,101,3,gpt4o_mini,llm,0.755,0.5,25.0,0.02,1.0,1,0.75
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.00__s101,5,0.0,0.0,101,4,grok_41_fast,llm,0.755,0.5,25.0,0.02,1.0,1,0.75
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.30__s101,5,0.0,0.3,101,0,always_cooperate,deterministic,1.0,0.44311863157761766,22.15593157888088,0.0,0.02,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.30__s101,5,0.0,0.3,101,1,always_defect,deterministic,0.0,2.0811713567232255,104.05856783616127,0.0,0.0,4,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.30__s101,5,0.0,0.3,101,2,graded_tft,deterministic,0.755,0.8451318128640196,42.25659064320098,0.02,1.0,1,0.75
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m5__p0.00__l0.30__s101,5,0.0,0.3,101,3,gpt4o_mini,llm,0.755,0.8451318128640196,42.25659064320098,0.02,1.0,1,0.75
