match_dir,match_id,seed,model_raw,model,baseline_raw,baseline,mean_coop,mean_payoff,early_coop,late_coop,delta_late_minus_early,switch_rate,retaliation,forgiveness,num_rounds,agent_output_files,agent_output_chars
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_defect__seed103,gemma3_27b__vs__always_defect__seed103,103,gemma3_27b,Gemma-3-27B,always_defect,Always Defect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,255728
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_defect__seed104,gemma3_27b__vs__always_defect__seed104,104,gemma3_27b,Gemma-3-27B,always_defect,Always Defect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,256395
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_defect__seed105,gemma3_27b__vs__always_defect__seed105,105,gemma3_27b,Gemma-3-27B,always_defect,Always Defect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,255420
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__graded_tft__seed101,gemma3_27b__vs__graded_tft__seed101,101,gemma3_27b,Gemma-3-27B,graded_tft,Graded TFT,0.0,0.41943125000000003,0.0,0.0,0.0,0.0,0.0,0.0,50,2,256162
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__graded_tft__seed102,gemma3_27b__vs__graded_tft__seed102,102,gemma3_27b,Gemma-3-27B,graded_tft,Graded TFT,0.0,0.595209375,0.0,0.0,0.0,0.0,0.0,0.0,50,2,255885
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__graded_tft__seed103,gemma3_27b__vs__graded_tft__seed103,103,gemma3_27b,Gemma-3-27B,graded_tft,Graded TFT,0.0,0.7661312499999999,0.0,0.0,0.0,0.0,0.0,0.0,50,2,256809
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__graded_tft__seed104,gemma3_27b__vs__graded_tft__seed104,104,gemma3_27b,Gemma-3-27B,graded_tft,Graded TFT,0.0,1.287396875,0.0,0.0,0.0,0.0,0.0,0.0,50,2,256923
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__graded_tft__seed105,gemma3_27b__vs__graded_tft__seed105,105,gemma3_27b,Gemma-3-27B,graded_tft,Graded TFT,0.0,0.9144312500000001,0.0,0.0,0.0,0.0,0.0,0.0,50,2,256346
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__grim_trigger__seed101,gemma3_27b__vs__grim_trigger__seed101,101,gemma3_27b,Gemma-3-27B,grim_trigger,Grim Trigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,255214
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__grim_trigger__seed102,gemma3_27b__vs__grim_trigger__seed102,102,gemma3_27b,Gemma-3-27B,grim_trigger,Grim Trigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,255493
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__grim_trigger__seed103,gemma3_27b__vs__grim_trigger__seed103,103,gemma3_27b,Gemma-3-27B,grim_trigger,Grim Trigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,255728
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__grim_trigger__seed104,gemma3_27b__vs__grim_trigger__seed104,104,gemma3_27b,Gemma-3-27B,grim_trigger,Grim Trigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,256395
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__grim_trigger__seed105,gemma3_27b__vs__grim_trigger__seed105,105,gemma3_27b,Gemma-3-27B,grim_trigger,Grim Trigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,255420
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__random_uniform__seed101,gemma3_27b__vs__random_uniform__seed101,101,gemma3_27b,Gemma-3-27B,random_uniform,Random,0.0,5.775244270833332,0.0,0.0,0.0,0.0,0.0,0.0,50,2,257768
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__random_uniform__seed102,gemma3_27b__vs__random_uniform__seed102,102,gemma3_27b,Gemma-3-27B,random_uniform,Random,0.0,4.785815625000001,0.0,0.0,0.0,0.0,0.0,0.0,50,2,257320
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__random_uniform__seed103,gemma3_27b__vs__random_uniform__seed103,103,gemma3_27b,Gemma-3-27B,random_uniform,Random,0.0,4.70661444224439,0.0,0.0,0.0,0.0,0.0,0.0,50,2,258172
